movie_id,title,genres,overview
1,Inception,Sci-Fi Thriller Action,"A thief who steals corporate secrets through dream-sharing technology is given a chance to have his criminal history erased by planting an idea into a target's subconscious."
2,Interstellar,Sci-Fi Drama Adventure,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival as Earth becomes uninhabitable."
3,The Dark Knight,Action Crime Drama,"When a menace known as the Joker wreaks havoc on Gotham, Batman must accept one of the greatest psychological tests of his ability to fight injustice."
4,The Prestige,Drama Mystery Thriller,"Two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outdo each other."
5,Memento,Mystery Thriller,"A man with short-term memory loss uses notes and tattoos to hunt for the man he thinks killed his wife."
6,The Matrix,Sci-Fi Action,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
7,Avengers Endgame,Action Adventure Sci-Fi,"The remaining Avengers assemble once more to reverse the damage caused by Thanos and restore balance to the universe."
8,Guardians of the Galaxy,Action Adventure Comedy Sci-Fi,"A group of intergalactic misfits must pull together to stop a fanatical warrior from taking control of the universe."
9,Iron Man,Action Adventure Sci-Fi,"A billionaire industrialist and genius engineer builds a powered suit of armor to fight evil after being held captive."
10,The Social Network,Drama Biography,"The story of the founders of Facebook and the lawsuits that followed the social network's rapid success."
11,Steve Jobs,Drama Biography,"A look at the personal and professional life of Apple co-founder Steve Jobs across three product launches."
12,The Imitation Game,Drama Biography Thriller,"During World War II, mathematician Alan Turing tries to crack the German Enigma code with help from a team of scientists."
13,A Beautiful Mind,Drama Biography Romance,"A brilliant but asocial mathematician accepts secret work in cryptography while struggling with schizophrenia."
14,Whiplash,Drama Music,"A promising young drummer enrolls at a cutthroat music conservatory where his instructor pushes him to the brink."
15,La La Land,Drama Romance Music,"A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles."
16,The Grand Budapest Hotel,Comedy Drama Adventure,"The adventures of a legendary concierge at a famous European hotel and the lobby boy who becomes his trusted friend."
17,Superbad,Comedy,"Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a party goes awry."
18,The Hangover,Comedy,"Three friends wake up from a bachelor party in Las Vegas with no memory of the previous night and their friend is missing."
19,Coco,Animation Family Fantasy Music,"Aspiring musician Miguel enters the Land of the Dead to uncover his family's forgotten history and pursue his passion for music."
20,Toy Story,Animation Family Comedy Adventure,"A cowboy doll feels threatened when a new spaceman action figure supplants him as top toy in a boy's room."
21,Spirited Away,Animation Family Fantasy Adventure,"During her family's move, a sullen young girl wanders into a world ruled by gods and witches where humans are changed into beasts."
22,Finding Nemo,Animation Family Adventure Comedy,"After his son is captured, a timid clownfish sets out on a journey across the ocean to bring him home."
23,Jurassic Park,Adventure Sci-Fi Thriller,"A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a group of children after a power failure causes the park's cloned dinosaurs to escape."
24,The Martian,Sci-Fi Adventure Drama,"An astronaut becomes stranded on Mars and must use his ingenuity to survive while awaiting a potential rescue."
25,Gravity,Sci-Fi Drama Thriller,"Two astronauts work together to survive after an accident leaves them stranded in space with dwindling resources."
26,Arrival,Sci-Fi Drama Mystery,"A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world."
27,Ex Machina,Sci-Fi Drama Thriller,"A young programmer is selected to evaluate the human qualities of a breakthrough humanoid AI in a secluded research facility."
28,Her,Sci-Fi Drama Romance,"A lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
29,Blade Runner 2049,Sci-Fi Drama Mystery,"A young blade runner unearths a long-buried secret that leads him to track down former blade runner Rick Deckard."
30,The Shawshank Redemption,Drama Crime,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
31,Forrest Gump,Drama Romance Comedy,"The presidencies of Kennedy and Johnson unfold from the perspective of an Alabama man with an IQ of 75."
32,Good Will Hunting,Drama Romance,"A janitor at MIT with a gift for mathematics must confront his past and his future after his talent is discovered."
33,Pursuit of Happyness,Drama Biography,"A struggling salesman takes custody of his son as he begins a life-changing professional career amid homelessness."
34,3 Idiots,Comedy Drama,"Two friends search for their long-lost companion, reminiscing about their college days and the impact he made on their lives."
35,Taare Zameen Par,Drama Family,"An eight-year-old boy is thought to be a lazy trouble-maker until a new art teacher helps discover the child is severely dyslexic."
36,Dangal,Biography Drama Sport,"A former wrestler trains his daughters to become India's first world-class female wrestlers."
37,PK,Comedy Drama Sci-Fi,"An alien on Earth loses the only device he can use to communicate with his spaceship and must navigate human society to find it."
38,Chak De India,Drama Sport,"A former hockey captain accused of throwing a match is redeemed after coaching the women's national team to World Cup glory."
39,Interview with the Vampire,Horror Drama Fantasy,"A vampire tells his epic life story spanning centuries to a modern-day journalist."
40,Get Out,Horror Mystery Thriller,"A young African-American man visits his white girlfriend's family estate and uncovers a disturbing secret."
